"u_tarefa","u_matricula","u_nome","u_grupo_acionado","u_acao","u_status","u_data_e_hora_inicio","u_data_e_hora_fim","sys_created_on","sys_created_by","u_em_analise_por_historico","sys_tags","sys_updated_on","sys_updated_by","sys_mod_count"
"TSK240800118027","System","wfm_agent","CAMPO FMMT TSL","Anotações de Trabalho","Não Iniciado","26/08/2024 09:35:43","26/08/2024 09:35:43","26/08/2024 09:35:43","wfm_agent","","","26/08/2024 09:35:43","wfm_agent","0"
"TSK240800123511","System","wfm_agent","CAMPO FMMT TNO","Anotações de Trabalho","Validar","26/08/2024 09:35:44","26/08/2024 09:35:44","26/08/2024 09:35:44","wfm_agent","","","26/08/2024 09:35:44","wfm_agent","0"
"TSK240800124339","System","wfm_agent","CAMPO FMMT TNE","Alteração de Status","Iniciado","26/08/2024 09:33:25","26/08/2024 09:35:45","26/08/2024 09:33:25","wfm_agent","","","26/08/2024 09:35:45","system","1"
"TSK240800116750","System","wfm_agent","CAMPO FMMT TNO","Anotações de Trabalho","Iniciado","26/08/2024 09:35:45","26/08/2024 09:35:45","26/08/2024 09:35:45","wfm_agent","","","26/08/2024 09:35:45","wfm_agent","0"
"TSK240800123917","System","wfm_agent","CAMPO FMO TRJ 1","Anotações de Trabalho","Não Iniciado","26/08/2024 09:35:46","26/08/2024 09:35:46","26/08/2024 09:35:46","wfm_agent","","","26/08/2024 09:35:46","wfm_agent","0"
"TSK240800126409","8001194","F8001194","CAMPO FMMT TNE","Alteração de Status","Não Iniciado","26/08/2024 09:35:50","26/08/2024 09:35:51","26/08/2024 09:35:50","F8001194","","","26/08/2024 09:35:51","F8001194","1"
"TSK240800125073","System","wfm_agent","CAMPO FMMT TCO","Anotações de Trabalho","Iniciado","26/08/2024 09:35:54","26/08/2024 09:35:54","26/08/2024 09:35:54","wfm_agent","","","26/08/2024 09:35:54","wfm_agent","0"
"TSK240800125934","System","wfm_agent","CAMPO FMMT TMG","Anotações de Trabalho","Iniciado","26/08/2024 09:35:55","26/08/2024 09:35:55","26/08/2024 09:35:55","wfm_agent","","","26/08/2024 09:35:55","wfm_agent","0"
"TSK240800120007","System","wfm_agent","CAMPO FMMT TMG","Anotações de Trabalho","Iniciado","26/08/2024 09:35:55","26/08/2024 09:35:55","26/08/2024 09:35:55","wfm_agent","","","26/08/2024 09:35:55","wfm_agent","0"
"TSK240800123220","System","wfm_agent","CAMPO FMMT TNE","Anotações de Trabalho","Não Iniciado","26/08/2024 09:35:57","26/08/2024 09:35:57","26/08/2024 09:35:57","wfm_agent","","","26/08/2024 09:35:57","wfm_agent","0"
"TSK240800082542","System","wfm_agent","CAMPO FMO TRJ 2","Anotações de Trabalho","Não Iniciado","26/08/2024 09:35:58","26/08/2024 09:35:58","26/08/2024 09:35:58","wfm_agent","","","26/08/2024 09:35:58","wfm_agent","0"
"TSK240800101094","System","wfm_agent","CAMPO FMMT TSL","Anotações de Trabalho","Validar","26/08/2024 09:36:00","26/08/2024 09:36:00","26/08/2024 09:36:00","wfm_agent","","","26/08/2024 09:36:00","wfm_agent","0"
"TSK240800124339","System","wfm_agent","CAMPO FMMT TNE","Anotações de Trabalho","Validar","26/08/2024 09:36:01","26/08/2024 09:36:01","26/08/2024 09:36:01","wfm_agent","","","26/08/2024 09:36:01","wfm_agent","0"
"TSK240800103557","System","wfm_agent","CAMPO FMMT TCO","Anotações de Trabalho","Não Iniciado","26/08/2024 09:36:02","26/08/2024 09:36:02","26/08/2024 09:36:02","wfm_agent","","","26/08/2024 09:36:02","wfm_agent","0"
"TSK240800094940","System","wfm_agent","CAMPO FMO TRJ 2","Anotações de Trabalho","Não Iniciado","26/08/2024 09:36:04","26/08/2024 09:36:04","26/08/2024 09:36:04","wfm_agent","","","26/08/2024 09:36:04","wfm_agent","0"
"TSK240800125909","System","wfm_agent","CAMPO FMMT TCO","Anotações de Trabalho","Não Iniciado","26/08/2024 09:36:05","26/08/2024 09:36:05","26/08/2024 09:36:05","wfm_agent","","","26/08/2024 09:36:05","wfm_agent","0"
"TSK240800124916","System","wfm_agent","CAMPO FMMT TRJ","Anotações de Trabalho","Iniciado","26/08/2024 09:36:06","26/08/2024 09:36:06","26/08/2024 09:36:06","wfm_agent","","","26/08/2024 09:36:06","wfm_agent","0"
"TSK240800071908","System","wfm_agent","CAMPO FMMT TRJ","Anotações de Trabalho","Iniciado","26/08/2024 09:36:08","26/08/2024 09:36:08","26/08/2024 09:36:08","wfm_agent","","","26/08/2024 09:36:08","wfm_agent","0"
"TSK240800125668","System","wfm_agent","CAMPO FMMT TNE 2","Anotações de Trabalho","Iniciado","26/08/2024 09:36:09","26/08/2024 09:36:09","26/08/2024 09:36:09","wfm_agent","","","26/08/2024 09:36:09","wfm_agent","0"
"TSK240800121715","System","wfm_agent","CAMPO FMMT TMG","Anotações de Trabalho","Iniciado","26/08/2024 09:36:10","26/08/2024 09:36:10","26/08/2024 09:36:10","wfm_agent","","","26/08/2024 09:36:10","wfm_agent","0"
"TSK240800123352","System","wfm_agent","CAMPO FMMT TSP","Anotações de Trabalho","Iniciado","26/08/2024 09:36:10","26/08/2024 09:36:10","26/08/2024 09:36:10","wfm_agent","","","26/08/2024 09:36:10","wfm_agent","0"
"TSK240800102805","System","wfm_agent","CAMPO FMO TRJ 2","Anotações de Trabalho","Iniciado","26/08/2024 09:36:11","26/08/2024 09:36:11","26/08/2024 09:36:11","wfm_agent","","","26/08/2024 09:36:11","wfm_agent","0"
"TSK240800120269","System","wfm_agent","CAMPO FMMT TSP","Anotações de Trabalho","Iniciado","26/08/2024 09:36:19","26/08/2024 09:36:19","26/08/2024 09:36:19","wfm_agent","","","26/08/2024 09:36:19","wfm_agent","0"
"TSK240800092171","System","wfm_agent","CAMPO FMO TRJ 2","Anotações de Trabalho","Não Iniciado","26/08/2024 09:36:20","26/08/2024 09:36:20","26/08/2024 09:36:20","wfm_agent","","","26/08/2024 09:36:20","wfm_agent","0"
"TSK240800126409","8001194","F8001194","CAMPO FMMT TNE","Alteração de Status","Pendente","26/08/2024 09:35:51","26/08/2024 09:36:23","26/08/2024 09:35:51","F8001194","","","26/08/2024 09:36:23","system","1"
"TSK240800090413","System","wfm_agent","CAMPO FMMT TCO","Anotações de Trabalho","Iniciado","26/08/2024 09:36:25","26/08/2024 09:36:25","26/08/2024 09:36:25","wfm_agent","","","26/08/2024 09:36:25","wfm_agent","0"
"TSK240800044505","isoc_acesso","isoc_acesso","CAMPO FMMT TCO","Anotações de Trabalho","Concluido","26/08/2024 09:36:31","26/08/2024 09:36:31","26/08/2024 09:36:31","isoc_acesso","","","26/08/2024 09:36:31","isoc_acesso","0"
"TSK240800044419","isoc_acesso","isoc_acesso","CAMPO FMO TRIAGEM TSP 1","Anotações de Trabalho","Concluido","26/08/2024 09:36:34","26/08/2024 09:36:34","26/08/2024 09:36:34","isoc_acesso","","","26/08/2024 09:36:34","isoc_acesso","0"
"TSK240800126308","","","CAMPO FMMT TSL","Alteração de Status","Não Iniciado","26/08/2024 09:05:50","26/08/2024 09:36:37","26/08/2024 09:05:50","system","","","26/08/2024 09:36:37","wfm_agent","1"
"TSK240800125909","","","CAMPO FMMT TCO","Alteração de Status","Não Iniciado","26/08/2024 07:01:07","26/08/2024 09:36:37","26/08/2024 07:01:07","system","","","26/08/2024 09:36:37","wfm_agent","1"
"TSK240800044495","isoc_acesso","isoc_acesso","CAMPO FMO TRJ 1","Anotações de Trabalho","Concluido","26/08/2024 09:36:38","26/08/2024 09:36:38","26/08/2024 09:36:38","isoc_acesso","","","26/08/2024 09:36:38","isoc_acesso","0"
"TSK240800124320","System","wfm_agent","CAMPO FMMT TSP","Anotações de Trabalho","Iniciado","26/08/2024 09:36:41","26/08/2024 09:36:41","26/08/2024 09:36:41","wfm_agent","","","26/08/2024 09:36:41","wfm_agent","0"
"TSK240800105184","System","wfm_agent","CAMPO FMMT TSP","Anotações de Trabalho","Iniciado","26/08/2024 09:36:42","26/08/2024 09:36:42","26/08/2024 09:36:42","wfm_agent","","","26/08/2024 09:36:42","wfm_agent","0"
"TSK240800124458","System","wfm_agent","CAMPO FMMT TMG","Anotações de Trabalho","Iniciado","26/08/2024 09:36:43","26/08/2024 09:36:43","26/08/2024 09:36:43","wfm_agent","","","26/08/2024 09:36:43","wfm_agent","0"
"TSK240800067332","System","wfm_agent","CAMPO FMMT TMG","Anotações de Trabalho","Não Iniciado","26/08/2024 09:36:43","26/08/2024 09:36:43","26/08/2024 09:36:43","wfm_agent","","","26/08/2024 09:36:43","wfm_agent","0"
"TSK240800120131","8054646","F8054646","CAMPO FMMT TSP","Anotações de Trabalho","Não Iniciado","26/08/2024 09:36:46","26/08/2024 09:36:46","26/08/2024 09:36:46","F8054646","","","26/08/2024 09:36:46","F8054646","0"
"TSK240800113074","System","wfm_agent","CAMPO FMMT TRJ","Anotações de Trabalho","Não Iniciado","26/08/2024 09:36:53","26/08/2024 09:36:53","26/08/2024 09:36:53","wfm_agent","","","26/08/2024 09:36:53","wfm_agent","0"
"TSK240800125592","System","wfm_agent","CAMPO FMMT TNE","Anotações de Trabalho","Não Iniciado","26/08/2024 09:36:54","26/08/2024 09:36:54","26/08/2024 09:36:54","wfm_agent","","","26/08/2024 09:36:54","wfm_agent","0"
"TSK240800048399","System","wfm_agent","CAMPO FMMT TSL","Anotações de Trabalho","Iniciado","26/08/2024 09:36:55","26/08/2024 09:36:55","26/08/2024 09:36:55","wfm_agent","","","26/08/2024 09:36:55","wfm_agent","0"
"TSK240800126412","","","CAMPO FMMT TSP","Alteração de Status","Não Iniciado","26/08/2024 09:36:56","","26/08/2024 09:36:56","system","","","26/08/2024 09:36:56","system","0"
"TSK240800115150","8070573","F8070573","CAMPO FMMT TRJ","Anotações de Trabalho","Não Concluído","26/08/2024 09:36:57","26/08/2024 09:36:57","26/08/2024 09:36:57","F8070573","","","26/08/2024 09:36:57","F8070573","0"
"TSK240800097744","","","CAMPO FMMT TSP","Alteração de Status","Validar","26/08/2024 08:37:00","26/08/2024 09:37:03","26/08/2024 08:37:00","system","","","26/08/2024 09:37:03","system","1"
"TSK240800115150","8070573","F8070573","CAMPO FMMT TRJ","Alteração de Status","Não Iniciado","26/08/2024 09:37:03","","26/08/2024 09:37:03","F8070573","","","26/08/2024 09:37:03","F8070573","0"
"TSK240800097744","","","CAMPO FMMT TSP","Alteração de Status","Não Iniciado","26/08/2024 09:37:04","","26/08/2024 09:37:04","system","","","26/08/2024 09:37:04","system","0"
"TSK240800125592","System","wfm_agent","CAMPO FMMT TNE","Anotações de Trabalho","Não Iniciado","26/08/2024 09:37:06","26/08/2024 09:37:06","26/08/2024 09:37:06","wfm_agent","","","26/08/2024 09:37:06","wfm_agent","0"
"TSK240800123878","System","wfm_agent","CAMPO FMMT TRJ","Anotações de Trabalho","Não Iniciado","26/08/2024 09:37:08","26/08/2024 09:37:08","26/08/2024 09:37:08","wfm_agent","","","26/08/2024 09:37:08","wfm_agent","0"
"TSK240800090413","System","wfm_agent","CAMPO FMMT TCO","Alteração de Status","Iniciado","26/08/2024 07:06:58","26/08/2024 09:37:10","26/08/2024 07:06:58","wfm_agent","","","26/08/2024 09:37:10","system","1"
"TSK240800126390","","","CAMPO FMMT TNE","Alteração de Status","Não Iniciado","26/08/2024 09:30:59","26/08/2024 09:37:20","26/08/2024 09:30:59","system","","","26/08/2024 09:37:20","wfm_agent","1"
"TSK240800116929","","","CAMPO FMMT TSL","Alteração de Status","Concluido","26/08/2024 09:37:22","","26/08/2024 09:37:22","system","","","26/08/2024 09:37:22","system","0"
"TSK240800116929","","","CAMPO FMMT TSL","Alteração de Status","Validar","26/08/2024 08:37:19","26/08/2024 09:37:22","26/08/2024 08:37:19","system","","","26/08/2024 09:37:22","system","1"
"TSK240800124873","System","wfm_agent","CAMPO FMMT TNE","Alteração de Status","Iniciado","26/08/2024 09:35:12","26/08/2024 09:37:31","26/08/2024 09:35:12","wfm_agent","","","26/08/2024 09:37:31","system","1"
"TSK240800125222","System","wfm_agent","CAMPO FMMT TNO","Anotações de Trabalho","Iniciado","26/08/2024 09:37:42","26/08/2024 09:37:42","26/08/2024 09:37:42","wfm_agent","","","26/08/2024 09:37:42","wfm_agent","0"
"TSK240700154832","8088485","F8088485","CAMPO FMMT TMG","Alteração de Status","Não Iniciado","26/08/2024 08:22:16","26/08/2024 09:37:42","26/08/2024 08:22:16","F8088485","","","26/08/2024 09:37:42","wfm_agent","1"
"TSK240800108394","System","wfm_agent","CAMPO FMMT TMG","Anotações de Trabalho","Não Iniciado","26/08/2024 09:37:43","26/08/2024 09:37:43","26/08/2024 09:37:43","wfm_agent","","","26/08/2024 09:37:43","wfm_agent","0"
"TSK240800125592","System","wfm_agent","CAMPO FMMT TNE","Anotações de Trabalho","Não Iniciado","26/08/2024 09:37:50","26/08/2024 09:37:50","26/08/2024 09:37:50","wfm_agent","","","26/08/2024 09:37:50","wfm_agent","0"
"TSK240800121173","System","wfm_agent","CAMPO FMMT TNO","Anotações de Trabalho","Iniciado","26/08/2024 09:37:50","26/08/2024 09:37:50","26/08/2024 09:37:50","wfm_agent","","","26/08/2024 09:37:50","wfm_agent","0"
"TSK240800125688","System","wfm_agent","CAMPO FMMT TRJ","Anotações de Trabalho","Iniciado","26/08/2024 09:37:51","26/08/2024 09:37:51","26/08/2024 09:37:51","wfm_agent","","","26/08/2024 09:37:51","wfm_agent","0"
"TSK240800124873","System","wfm_agent","CAMPO FMMT TNE","Anotações de Trabalho","Validar","26/08/2024 09:37:51","26/08/2024 09:37:51","26/08/2024 09:37:51","wfm_agent","","","26/08/2024 09:37:51","wfm_agent","0"
"TSK240800118940","System","wfm_agent","CAMPO FMMT TSP","Anotações de Trabalho","Iniciado","26/08/2024 09:37:52","26/08/2024 09:37:52","26/08/2024 09:37:52","wfm_agent","","","26/08/2024 09:37:52","wfm_agent","0"
"TSK240800111458","System","wfm_agent","CAMPO FMMT TSL","Anotações de Trabalho","Iniciado","26/08/2024 09:37:53","26/08/2024 09:37:53","26/08/2024 09:37:53","wfm_agent","","","26/08/2024 09:37:53","wfm_agent","0"
"TSK240800104054","System","wfm_agent","CAMPO FMO TRJ 2","Anotações de Trabalho","Não Iniciado","26/08/2024 09:37:53","26/08/2024 09:37:53","26/08/2024 09:37:53","wfm_agent","","","26/08/2024 09:37:53","wfm_agent","0"
"TSK240800119108","System","wfm_agent","CAMPO FMMT TSP","Anotações de Trabalho","Iniciado","26/08/2024 09:37:54","26/08/2024 09:37:54","26/08/2024 09:37:54","wfm_agent","","","26/08/2024 09:37:54","wfm_agent","0"
"TSK240800126416","","","CAMPO FMO TRIAGEM TRJ 1","Anotações de Trabalho","Não Iniciado","26/08/2024 09:37:57","26/08/2024 09:37:57","26/08/2024 09:37:57","system","","","26/08/2024 09:37:57","system","0"
"TSK240800126416","","","CAMPO FMO TRIAGEM TRJ 1","Anotações de Trabalho","Não Iniciado","26/08/2024 09:37:57","26/08/2024 09:37:57","26/08/2024 09:37:57","system","","","26/08/2024 09:37:57","system","0"
"TSK240800126416","System","wfm_agent","CAMPO FMO TRIAGEM TRJ 1","Anotações de Trabalho","Não Iniciado","26/08/2024 09:37:57","26/08/2024 09:37:57","26/08/2024 09:37:57","wfm_agent","","","26/08/2024 09:37:57","wfm_agent","0"
"TSK240800104065","System","wfm_agent","CAMPO FMO TRJ 2","Anotações de Trabalho","Não Iniciado","26/08/2024 09:37:58","26/08/2024 09:37:58","26/08/2024 09:37:58","wfm_agent","","","26/08/2024 09:37:58","wfm_agent","0"
"TSK240800125562","System","wfm_agent","CAMPO FMMT TRJ","Anotações de Trabalho","Iniciado","26/08/2024 09:37:58","26/08/2024 09:37:58","26/08/2024 09:37:58","wfm_agent","","","26/08/2024 09:37:58","wfm_agent","0"
"TSK240800125562","System","wfm_agent","CAMPO FMMT TRJ","Alteração de Status","Iniciado","26/08/2024 08:55:37","26/08/2024 09:37:58","26/08/2024 08:55:37","wfm_agent","","","26/08/2024 09:37:58","system","1"
